SFOI4,NODAWAY VALLEY _ FONTANELLE,4381,8170,14422,21546,28758,16792,12129,8665,8393,6884,2286,4672,
SGLI4,GLIDDEN RALSTON _ GLIDDEN,2725,909,1441,2619,2774,1850,1645,2460,1117,1797,633,1585,
SGRI4,GRIMES ELEM,24759,28340,32797,49364,61487,32592,34174,45012,24219,39891,35392,46376,
SHUI4,TAFT ELEM _ HUMBOLDT,12429,8124,17245,20748,21632,18526,16313,12299,11791,15962,15536,17696,
SIAI4,IOWA CHRISTIAN,1345,2297,2399,4157,5576,2342,5576,3297,1023,1553,764,990,
SIFI4,ROCK RUN ELEM _ IOWA FALLS,32465,44480,47764,70887,67467,67555,62172,68355,61697,75967,74143,93082,
SINI4,EMERSON ELEM _ INDIANOLA,21978,14986,21417,34532,39271,30032,23507,26969,7235,12483,14827,10267,
SJCI4,WDM: JORDAN CREEK ELEM,0,0,0,0,0,0,0,0,0,1872,2587,3560,
SJEI4,JEFFERSON SCRANTON HS,28228,31029,22244,25898,29986,23189,14643,28088,30719,31227,30464,32974,
SJWI4,SOUTH HAMILTON _ JEWELL,13657,8721,8474,11530,14751,10029,7256,8572,1087,1087,717,4426,
SKCI4,KCCI STUDIOS _ DES MOINES,4940,1936,1866,5152,12034,5500,5955,8219,7894,9188,9850,12657,
SKNI4,KNOXVILLE COMMUN,3739,5547,7244,3847,21744,9517,29924,11022,1988,3593,1024,4602,
SLEI4,LEON,5003,1380,2356,3249,6206,2192,1366,7025,1423,1466,1128,2587,
SLMI4,CAL COMMUN _ LATIMER,707,1380,2004,1396,5490,8552,1112,1107,24763,24264,13350,20586,
SLOI4,LAMONI COMMUNITY _ LAMONI,2025,5927,1435,5215,8104,5567,5147,6026,4393,3807,3831,2705,
SLUI4,LUVERNE,0,0,0,0,0,0,0,0,0,0,1821,7160,
SMAI4,FISHER ELEM _ MARSHALLTOWN,27864,15766,33960,36155,53754,50998,56374,26777,21521,26019,22537,25972,
SMDI4,MADRID,0,0,0,0,0,0,0,0,0,0,0,0,
SMLI4,WEST BEND - MALLARD,488,1040,6725,2325,2626,1507,862,1131,4783,665,499,1406,
SMNI4,MONTEZUMA COMMUN,2181,2268,464,1383,5620,3915,5950,5124,1847,2605,1544,1603,
SMOI4,MOUNT AYR COMMUN,2902,2943,2261,3967,11753,4382,4743,3341,1865,2904,2591,5234,
SMSI4,MANSON NW WEBSTER,7712,10194,13412,2078,13005,10533,13981,10898,11487,6867,8636,13885,
SMUI4,MURRAY COMM SCHOOL,20002,10977,25045,27070,13892,2936,2101,5567,24170,19624,18624,3973,
SNEI4,BERG MS _ NEWTON,30345,13172,8762,23415,25779,20360,14167,14450,9206,9246,7304,13339,
SNVI4,NEVADA COMMUN,12760,19862,24426,21236,33097,8415,23026,7779,18678,43702,29499,14694,
SOCI4,OSKALOOSA,0,0,0,0,8532,9760,5228,6030,1979,3815,2974,3242,
SOGI4,OGDEN,0,0,0,0,0,0,0,0,0,19982,23449,25523,
SOSI4,CLARKE COMMUN _ OSCEOLA,8290,3151,3722,8246,12328,7007,11520,7057,2551,17524,2343,5178,
SPAI4,PANORAMA _ PANORA,18169,5554,2663,8938,23650,9928,4632,13680,14061,6347,4353,7400,
SPEI4,PELLA MS,50773,62465,49900,62907,94952,56844,80272,50430,111409,143791,101004,68335,
SPKI4,POLK CITY,0,0,0,0,4683,2243,3445,3195,1015,1784,1188,7098,
SPYI4,PERRY,50780,46918,34817,47069,25147,13051,5727,5923,3397,10156,13074,11639,
SROI4,ROCKWELL CITY,19128,23106,32471,37844,40054,12336,16922,20209,26097,19776,11004,16515,
SSUI4,SULLY CHRISTIAN,7193,10726,6748,12598,19243,11268,12900,9793,5061,12387,10083,6566,
SUNI4,BCLUW MS UNION,0,0,0,0,0,0,0,0,0,0,0,0,
SWAI4,WALL LAKE-VIEW-AUBURN,43372,40904,43888,64731,90255,23224,3238,13775,58070,65684,61952,77736,
SWBI4,WEBSTER CITY COMMUN,9543,9570,14368,13583,15247,24900,22188,28961,15861,20034,16720,24575,
SWII4,WINTERSET COMMUN,4148,3516,2549,4695,11696,12800,7697,12162,4705,6402,5576,7605,
